employee_id;first_name;last_name;age;status;join_date;salary;email;phone;performance_score;remote_work;department;region
EMP1000;Bob;Davis;25.0;Active;2021/04/02;59767.65;bob.davis_DCA1000@example.com;1651623197;Average;TRUE;DevOps;California
EMP1001;Bob;Brown;;Active;2020/07/10;65304.66;bob.brown_FTX1001@example.com;1898471390;Excellent;TRUE;Finance;Texas
EMP1002;Alice;Jones;;Pending;2023/12/07;88145.9;alice.jones_ANV1002@example.com;5596363211;Good;TRUE;Admin;Nevada
EMP1003;Eva;Davis;25.0;Inactive;2021/11/27;69450.99;eva.davis_ANV1003@example.com;3476490784;Good;TRUE;Admin;Nevada
EMP1004;Frank;Williams;25.0;Active;2022/01/05;109324.61;frank.williams_CFL1004@example.com;1586734256;Poor;FALSE;Cloud Tech;Florida
EMP1005;Alice;Garcia;40.0;Inactive;2020/06/10;88642.84;alice.garcia_STX1005@example.com;5409003485;Good;FALSE;Sales;Texas
EMP1006;Frank;Jones;;Active;2020/04/03;96288.43;frank.jones_ANV1006@example.com;4518376063;Good;FALSE;Admin;Nevada
EMP1007;Bob;Jones;30.0;Inactive;2022/07/17;94497.91;bob.jones_CFL1007@example.com;4134327559;Average;TRUE;Cloud Tech;Florida
EMP1008;Frank;Davis;35.0;Inactive;2023/12/08;115565.82;frank.davis_ANV1008@example.com;4177656123;Excellent;TRUE;Admin;Nevada
EMP1009;Charlie;Johnson;;Active;2022/08/04;76561.88;charlie.johnson_DNY1009@example.com;8156985699;Excellent;TRUE;DevOps;New York
EMP1010;David;Williams;35.0;Active;2024/07/06;72081.71;david.williams_CNY1010@example.com;2720634590;Average;FALSE;Cloud Tech;New York
EMP1011;David;Davis;;Active;2023/09/04;84946.19;david.davis_DCA1011@example.com;1238296576;Poor;TRUE;DevOps;California
EMP1012;Heidi;Williams;30.0;Active;2024/03/05;89295.77;heidi.williams_HNY1012@example.com;2429543164;Excellent;FALSE;HR;New York
EMP1013;Grace;Williams;;Active;2020/10/10;85666.84;grace.williams_FCA1013@example.com;2669300892;Good;FALSE;Finance;California
EMP1014;Alice;Garcia;25.0;Active;2024/06/10;97633.68;alice.garcia_ANV1014@example.com;1734206968;Excellent;TRUE;Admin;Nevada
EMP1015;Grace;Jones;40.0;Pending;2021/05/29;117975.49;grace.jones_SFL1015@example.com;4215291085;Good;TRUE;Sales;Florida
EMP1016;Alice;Brown;25.0;Inactive;2024/04/23;94867.33;alice.brown_DIL1016@example.com;7713334475;Poor;FALSE;DevOps;Illinois
EMP1017;Grace;Garcia;30.0;Pending;2024/11/28;100377.65;grace.garcia_FTX1017@example.com;2639343625;Average;TRUE;Finance;Texas
